EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.API_GRAVITY,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.AVERAGE_LOW_PRESSURE,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.PRODUCING_WELLS_ACQUIRED,EF_W_FACILITY_OVERVIEW.PRODUCING_WELLS_DIVESTED,EF_W_FACILITY_OVERVIEW.WELLS_COMPLETED,EF_W_FACILITY_OVERVIEW.WELL_REMOVED_FROM_PRODUCTION,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION,EF_W_FACILITY_OVERVIEW.CO2_AVERAGE_MOLE_FRACTION,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_HANDLED,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_OIL_HANDLED,EF_W_FACILITY_OVERVIEW.FRACTIONATE_NGL,EF_W_FACILITY_OVERVIEW.NUMBER_OF_COMPRESSORS,EF_W_FACILITY_OVERVIEW.COMPRESSOR_POWER_RATING,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_INJECTED,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_WITHDRAWN,EF_W_FACILITY_OVERVIEW.TOTAL_STORAGE_CAPACITY,EF_W_FACILITY_OVERVIEW.QUANTITY_IMPORTED,EF_W_FACILITY_OVERVIEW.QUANTITY_EXPORTED,EF_W_FACILITY_OVERVIEW.QUANTITY_LNG_ADDED,EF_W_FACILITY_OVERVIEW.QUANTITY_LNG_WITHDRAWN,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_RECEIVED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_WITHDRAWN,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_ADDED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_DELIVERED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_TRANSFERRED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_CONSUMED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_STOLEN,EF_W_FACILITY_OVERVIEW.QUANT_GAS_TRANSPORTED_GB,EF_W_FACILITY_OVERVIEW.QUANT_HC_LIQ_RECD,EF_W_FACILITY_OVERVIEW.QUANT_HC_LIQ_TRANS,EF_W_FACILITY_OVERVIEW.US_STATE,EF_W_FACILITY_OVERVIEW.MILES_OF_TRANS_PIPE,EF_W_FACILITY_OVERVIEW.MISSING_DATA_PROC_USED
Bluefin Resources LLC 220 Gulf Coast Basin (LA  TX),1009837,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,KLEBERG  TX (273),High permeability gas,220 - KLEBERG  TX (273) - High permeability gas,,,,1,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
Bluefin Resources LLC 220 Gulf Coast Basin (LA  TX),1009837,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MATAGORDA  TX (321),High permeability gas,220 - MATAGORDA  TX (321) - High permeability gas,,,,3,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
Bluefin Resources LLC 220 Gulf Coast Basin (LA  TX),1009837,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MATAGORDA  TX (321),Oil,220 - MATAGORDA  TX (321) - Oil,42.2,5.8538,30,4,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BEAVER  OK (7),High permeability gas,360 - BEAVER  OK (7) - High permeability gas,,,,208,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BEAVER  OK (7),Oil,360 - BEAVER  OK (7) - Oil,51.18,113.2775,30,82,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ELLIS  OK (45),High permeability gas,360 - ELLIS  OK (45) - High permeability gas,,,,17,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ELLIS  OK (45),Oil,360 - ELLIS  OK (45) - Oil,51.18,1,30,6,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),High permeability gas,360 - GRADY  OK (51) - High permeability gas,,,,13,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),Oil,360 - GRADY  OK (51) - Oil,51.18,20.2537,30,70,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARPER  OK (59),High permeability gas,360 - HARPER  OK (59) - High permeability gas,,,,134,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Basin,1009845,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARPER  OK (59),Oil,360 - HARPER  OK (59) - Oil,51.18,313.8528,30,72,0,0,0,0,.8209,.0054,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ANDREWS  TX (3),Oil,430 - ANDREWS  TX (3) - Oil,40.86,1.9756,26,2053,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,COKE  TX (81),High permeability gas,430 - COKE  TX (81) - High permeability gas,,,,9,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,COKE  TX (81),Oil,430 - COKE  TX (81) - Oil,40.86,9.0352,26,260,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CRANE  TX (103),Oil,430 - CRANE  TX (103) - Oil,40.86,1,26,10,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CROSBY  TX (107),High permeability gas,430 - CROSBY  TX (107) - High permeability gas,,,,2,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CROSBY  TX (107),Oil,430 - CROSBY  TX (107) - Oil,40.86,.0232,26,331,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ECTOR  TX (135),Oil,430 - ECTOR  TX (135) - Oil,40.86,1.3436,26,707,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FISHER  TX (151),Oil,430 - FISHER  TX (151) - Oil,40.86,.0737,26,16,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GAINES  TX (165),Oil,430 - GAINES  TX (165) - Oil,40.86,.895,26,505,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GLASSCOCK  TX (173),Oil,430 - GLASSCOCK  TX (173) - Oil,40.86,.005,26,272,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HOWARD  TX (227),Oil,430 - HOWARD  TX (227) - Oil,40.86,.0399,26,383,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LEA  NM (25),Oil,430 - LEA  NM (25) - Oil,40.86,.7978,26,15,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LOVING  TX (301),High permeability gas,430 - LOVING  TX (301) - High permeability gas,,,,1,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LOVING  TX (301),Oil,430 - LOVING  TX (301) - Oil,40.86,1,26,11,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LUBBOCK  TX (303),Oil,430 - LUBBOCK  TX (303) - Oil,40.86,1,26,9,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,NOLAN  TX (353),High permeability gas,430 - NOLAN  TX (353) - High permeability gas,,,,4,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,NOLAN  TX (353),Oil,430 - NOLAN  TX (353) - Oil,40.86,17.643,26,130,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,PECOS  TX (371),Oil,430 - PECOS  TX (371) - Oil,40.86,1,26,3,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,REEVES  TX (389),Oil,430 - REEVES  TX (389) - Oil,40.86,1,26,3,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WARD  TX (475),Oil,430 - WARD  TX (475) - Oil,40.86,.9149,26,42,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Basin,1009846,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WINKLER  TX (495),Oil,430 - WINKLER  TX (495) - Oil,40.86,1,26,3,0,0,0,0,.7238,.0185,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,AUSTIN  TX (15),Oil,220 - AUSTIN  TX (15) - Oil,30,0,75,2,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BASTROP  TX (21),Oil,220 - BASTROP  TX (21) - Oil,36.24,.2107,63,6,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BRAZOS  TX (41),Oil,220 - BRAZOS  TX (41) - Oil,40,0,25,2,0,0,0,0,.717,.0409,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BURLESON  TX (51),High permeability gas,220 - BURLESON  TX (51) - High permeability gas,,,,1,0,0,0,0,.6125,.0276,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BURLESON  TX (51),Oil,220 - BURLESON  TX (51) - Oil,40,28.251,25.6,7,0,0,0,0,.6125,.0276,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DE WITT  TX (123),High permeability gas,220 - DE WITT  TX (123) - High permeability gas,,,,1,0,0,0,0,.796,.0132,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DE WITT  TX (123),Oil,220 - DE WITT  TX (123) - Oil,49.1667,.8268,44.7,39,0,0,0,0,.796,.0132,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FAYETTE  TX (149),High permeability gas,220 - FAYETTE  TX (149) - High permeability gas,,,,22,0,0,0,0,.7028,.0268,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FAYETTE  TX (149),Oil,220 - FAYETTE  TX (149) - Oil,42.7,11.8249,83.6,41,0,0,0,4,.7028,.0268,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GONZALES  TX (177),Oil,220 - GONZALES  TX (177) - Oil,47.95,13.5478,29.3,4,0,0,0,0,.6873,.0201,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,JASPER  TX (241),High permeability gas,220 - JASPER  TX (241) - High permeability gas,,,,1,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,JASPER  TX (241),Oil,220 - JASPER  TX (241) - Oil,39,15.3333,35,1,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LAVACA  TX (285),High permeability gas,220 - LAVACA  TX (285) - High permeability gas,,,,1,0,0,0,0,.8751,.0722,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MADISON  TX (313),Oil,220 - MADISON  TX (313) - Oil,40,0,32,1,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,TYLER  TX (457),High permeability gas,220 - TYLER  TX (457) - High permeability gas,,,,2,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WALLER  TX (473),Oil,220 - WALLER  TX (473) - Oil,26.0833,0,50.9,13,0,0,0,0,.7652,.025,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHINGTON  TX (477),High permeability gas,220 - WASHINGTON  TX (477) - High permeability gas,,,,21,0,0,1,0,.7377,.0408,,,,,,,,,,,,,,,,,,,,,,,,,
GeoSouthern Energy Corporation,1009848,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHINGTON  TX (477),Oil,220 - WASHINGTON  TX (477) - Oil,40,2.5375,125,2,0,0,0,0,.7377,.0408,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbeard Operating - 400 - Ouachita Folded Belt,1009860,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ATOKA  OK (5),High permeability gas,400 - ATOKA  OK (5) - High permeability gas,,,,6,0,0,0,0,.8321,.0145,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbeard Operating - 400 - Ouachita Folded Belt,1009860,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HILL  TX (217),High permeability gas,400 - HILL  TX (217) - High permeability gas,,,,150,0,0,0,0,.8638,.0207,,,,,,,,,,,,,,,,,,,,,,,,,
Amplify Energy Operating LLC 220 Gulf Coast Basin (LA  TX),1009862,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,POLK  TX (373),High permeability gas,220 - POLK  TX (373) - High permeability gas,,,,38,0,0,0,0,.7658,.0251,,,,,,,,,,,,,,,,,,,,,,,,,
Contura Pennsylvania Land LLC,1009878,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GREENE  PA (59),Coal seam,160A - GREENE  PA (59) - Coal seam,,,,9,0,0,0,0,.890518,.085144,,,,,,,,,,,,,,,,,,,,,,,,,
Primexx Operating Corp 430 Permian Basin,1009885,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,REEVES  TX (389),Oil,430 - REEVES  TX (389) - Oil,42.5722222,2571.2020708,44.8,110,8,0,0,9,.570625,.002665,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BIENVILLE  LA (13),High permeability gas,230 - BIENVILLE  LA (13) - High permeability gas,,,,1,0,0,0,1,.95522,.017627,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BIENVILLE  LA (13),Other tight reservoir rock,230 - BIENVILLE  LA (13) - Other tight reservoir rock,,,,10,0,0,0,0,.9557899,.0159712,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BIENVILLE  LA (13),Shale gas,230 - BIENVILLE  LA (13) - Shale gas,,,,33,0,0,4,0,.9702165,.0230405,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BOSSIER  LA (15),High permeability gas,230 - BOSSIER  LA (15) - High permeability gas,,,,3,0,0,0,0,.89088,.0197843,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BOSSIER  LA (15),Other tight reservoir rock,230 - BOSSIER  LA (15) - Other tight reservoir rock,,,,1,0,0,0,0,.906807,.009627,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BOSSIER  LA (15),Shale gas,230 - BOSSIER  LA (15) - Shale gas,,,,56,0,0,8,0,.9629166,.0348712,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  LA (17),High permeability gas,230 - CADDO  LA (17) - High permeability gas,,,,7,0,0,0,0,.9688261,.0211339,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  LA (17),Oil,230 - CADDO  LA (17) - Oil,0,0,0,1,0,0,0,0,.942748,.023005,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  LA (17),Other tight reservoir rock,230 - CADDO  LA (17) - Other tight reservoir rock,,,,33,0,0,0,0,.9689875,.0204779,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  LA (17),Shale gas,230 - CADDO  LA (17) - Shale gas,,,,74,0,0,14,0,.9453168,.023758,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLAIBORNE  LA (27),High permeability gas,230 - CLAIBORNE  LA (27) - High permeability gas,,,,1,0,0,0,0,.96927,.01933,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLAIBORNE  LA (27),Oil,230 - CLAIBORNE  LA (27) - Oil,0,0,0,1,0,0,0,0,.96927,.01933,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLAIBORNE  LA (27),Other tight reservoir rock,230 - CLAIBORNE  LA (27) - Other tight reservoir rock,,,,12,0,0,0,0,.9687522,.0214345,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DE SOTO  LA (31),High permeability gas,230 - DE SOTO  LA (31) - High permeability gas,,,,50,0,0,0,0,.9688699,.0199205,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Resources  Inc. - Basin 230,1009890,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DE SOTO  LA (31),Oil,230 - DE SOTO  LA (31) - Oil,40,90.1252772,48,6,0,0,0,0,.96927,.01933,,,,,,,,,,,,,,,,,,,,,,,,,
